nombre,Codigo,Zona,Vendedor,telefono,EMail,Direccion
DISTRIB. RIMARLO C. AQUI-TA,01-27-018,Z136,136,584141512136,yraidaacosta@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CARRETERA PRINCIPAL DE LAS TUNITAS  CALLE BOLIVAR N° 21  SECTOR LAS TUNITAS"
"DISTRIBUIDORA DE BOMBAS II, C.A.",01-29-861,Z136,136,584128201872,refritodovargas@gmail.com,"VENEZUELA
, LA GUAIRA
, CATIA LA MAR
, AV PRINCIPAL ENTRE CALLE 9 Y 10 LOCAL NRO S/N URB ATLANTIDA CATIA LA MAR LA GUAIRA"
"DISTRIBUIDORA DE PINTURAS RODRIGUEZ, C.A.",90-01-068,Z136,136,584129644498,j500360983@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV BOULEVARD  EDIF BOULEVARD  PISO PB  LOCAL  A-B  URB CARIBE CARABALLEDA VARGAS"
"DISTRIBUIDORA LAS TORRES, C.A.",01-41-009,Z136,136,584141123024,distlastorres@hotmail.com,"PAIS: Venezuela
ESTADO: LA GUAIRA 
CIUDAD: VARGAS
DIRECCION: CALLE RAMOS A CERVECERIA  N09 NRO S/N OF NO APLICA URB PARIATA"
DISTRIBUIDORA ROTUTO C.A.,01-27-229,Z136,136,584122690671,rotutocacompras@gmail.com;jafds63@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV LA ATLANTIDA ENTRE CALLE 4 Y 5 EDIF ROTUTOCA PISO PB OF S/N URB LA ATLANTIDA CATIA LA MAR CATIA"
"EL ALMENDRON DE CARABALLEDA, C.A.",01-13-991,Z136,136,02123558450,elalmedroncaraballeda@gmail.com,"PAIS: VENEZUELA
ESTADO: DISTRITO FEDERAL
CIUDAD: CARABALLEDA
DIRECCION:  CALLE LA IGLESIA DE CARABALLEDA QTA SIN NOMBRE NRO 24 URB CARABALLEDA CARABALLEDA LA GUAIRA"
ELECTRICOS LA CASCADA C.A.,01-45-257,Z136,136,584143725574,electricoslacascada@hotmail.comy,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE PRINCIPAL DE NAIGUATA NRO SECTOR NAIGUATA"
"ELECTROFERRETERIA VENCAR 2.010, C.A.",01-27-259,Z136,136,02123517126,ELECTROFERRETERIAVENCAR2010@HOTMAIL.COM,"Venezuela
, LA GUAIRA
, VARGAS
, AV. ATLANTIDA CALLE 12 FREN- TE AL BANCO VENEZUELA"
EMPRENDIMIENTO MILEYDI MORALES,49-61-978,Z136,136,584142603461,mileidym.hscaribe@gmail.com;stecnosuply@gmail.com,"VENEZUELA
, MIRANDA
, PETARE
, CALLE EL COMERCIO QTA HADO SANTA INÉS NRO /N SECTOR PETARE CARACAS (PETARE) MIRANDA"
"FERRE ANGEL, C.A.",01-37-502,Z136,136,584148205629,mariselypereira@hotmail.com;sequeiramarisely@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV. INTERCOMUNAL DE MACUTO L/N.2 PB. AL LADO DE PANADERIA GOLFEADOS"
FERRE MADERAS CATIA LA MAR CA,01-27-970,Z136,136,584143372132,ferremaderascatialamar@gmail.com,"Venezuela
, LA GUAIRA
, CATIA LA MAR
, CATIAL/MAR CALL L/MOLINOS    AV.ARMADA URB.MENDOZA"
"FERRE QUINCALLA ALEX, C.A.",01-17-938,Z136,136,584241795339,ferrequincallaalex@hotmail.com,"Venezuela
, LA GUAIRA
, CARAYACA
, CALLE CALLE REAL DE CARAYACA LOCAL LOCAL S/N NRO S/N SECTOR SECTOR PUEBLO ARRIBA"
"FERRE-EQUIPO SANTA MARIA 2018, C.A.",01-27-053,Z136,136,584143102966,ferreequiposantamaria2018@gmail.com,"Venezuela
, LA GUAIRA
, CATIA LA MAR
, CALLE CALLE 5 ENTRE CALLE Y AVENIDA TACAGUA QTA FATIMA NRO PB LOCAL LOCAL 01 URB LA ATLANTIDA"
"FERRE-MATERIALES LAS TUNITAS 1, C.A.",01-28-003,Z136,136,584121585656,Fmlastunitasadm2s@gmail.com,"VENEZUELA
, LA GUAIRA
, CATIA LA MAR
, AV LA ATLANTIDA CASA PARCELA A-B CASERIO MANZANA 25 CATIA LA MAR LA GUAIRA"
"FERRE-MATERIALES LAS TUNITAS, C.A.",01-27-057,Z136,136,584122066032,fmlastunitasdm@gmail.com,"Venezuela
, LA GUAIRA
, CATIA LA MAR
, AV PRINCIPAL DE LAS TUNITAS LOCAL NRO 1 SECTOR RINCON CHIQUITO"
FERREACRILICOS LITORAL C.A,01-41-006,Z136,136,584143271973,ferreacrilicoslitoral@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE CALLE REAL DE PARIATA CC GARAJONAY NIVEL PB LOCAL 4 Y 5 URB MIRAMAR MAIQUETIA MAIQUETIA VARGAS"
"FERREMATERIALES 2001, C.A.",01-27-297,Z136,136,584242449201,ricardodiazpernia@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, FINAL AV EL EJERCITO ENTRADA URB SOUBLETTE"
"FERREMATERIALES MIRAMAR XXI,C.A.",01-27-035,Z136,136,584141313310,ferremateriales2001@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
,  CALLE REAL DE PARIATA EDIF 69 PISO PB LOCAL 1 SECTOR PARIATA MAIQUETIA LA GUAIRA"
FERREMATERIALES OSMAIRA A.R.O.E. C.A,01-13-992,Z136,136,584144669536,ferrematerialesosmaira.aroe@gmail.com,"VENEZUELA
, LA GUAIRA
, CARABALLEDA
, AV LA COSTANERA LOCAL MANZANA 17 NRO 79 URB LOS CORALES CARABALLEDA LA GUAIRA VARGAS"
"FERREMATERIALES SAN JORGE, C.A.",01-27-036,Z136,136,584142302705,paulinofer5@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, LA MISMA FERREMATERIALES N.P 2014"
"FERREMATERIALES VICTORIA, C.A",01-13-993,Z136,136,584127303044,ferrevictoria86@gmail.com,"VENEZUELA
, LA GUAIRA
, CARABALLEDA
, AV CIRCUNVALACIÓN CARIBE LOCAL PARCELA E NRO S/N SECTOR QUEBRADA SECA CARABALLEDA LA GUAIRA"
"FERREMATERIALES VISTA AL MAR 2001, C.A.",01-27-063,Z136,136,584141313310,ferremateriales2001@hotmail.com,"Venezuela
, DISTRITO FEDERAL
, CATIA LA MAR
, CALLE BAJADA ARRECIFE CASA NRO 3 SECTOR LOMA BLANCO VISTA AL MAR CATIA LA MAR LA GUAIRA"
FERRET MARINA REMOMAR C.A.,01-13-985,Z136,136,584142389838,fmarinaremomar@gmail.com,"Venezuela
, LA GUAIRA
, CARABALLEDA
, URB CARIBE AV NORTE DE LA BAHIA YACHT CLUB CARABALLEDA"
FERRET.Y BAZAR TAMANACO R.G. C.A.,01-17-279,Z136,136,584141335049,ricurdog@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE TAMANACO  FRENTE A LA BOMBA"
FERRETERIA ALEPPO P.B C.A.,01-41-289,Z136,136,584143709147,ferreteriaaleppo@hotmail.com,"Venezuela
, LA GUAIRA
, MAIQUETIA
, CALLE REAL DE MAIQUETIA FTE  A LA JEFATURA."
"FERRETERIA CASA C Y D, CA.",01-41-281,Z136,136,584243298487,ferreteriacasacyd@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CENTRO COMERCIAL MIRAMAR  LOCAL 14-15 PARIATA"
"FERRETERIA DSD, C.A.",90-01-002,Z136,136,584141149697,veronicadasilva2165@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE REAL EDIF BONANZA PISO PB LOCAL 23 URB MONTESANO"
FERRETERIA EL PUERTO MARITIMO S.R.L.,01-41-278,Z136,136,2123323402,jheysond.salazar@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, ESQ CONSUL A MARE EDIF N° 33 AL LADO FERRET. EL ANCLA"
FERRETERIA FERREFULL C.A,90-01-063,Z136,136,584242459440,ferreteriaferrefull@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV LA ARMADA EDIF BRE MAR PISO PB LOCAL NRO.4 SECTOR RAUL LEONI CATIA LA MAR VARGAS"
FERRETERIA IP-5 C.A.,01-13-988,Z136,136,584123075814,ferreteriaip-5@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV URB. PALMAR ESTE, BOULEVARD MONTECARLO ENTRE AV. LA COSTANERA Y AV. LA PLAYA LOCAL FERRETERIA IP-"
FERRETERIA LAGUNA AZUL C.A.,01-13-990,Z136,136,584122828332,ferreterialagunaazul1@gmail.com,"Venezuela
, LA GUAIRA
, CARABALLEDA
, CALLE REAL DE CARABALLEDA  EDIF SAN ANTONIO  URB.CARABALLEDA"
FERRETERIA MONSERRAT C.A.,01-27-291,Z136,136,584241487248,francysabadia@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE 10 C/AV. PRINCIPAL  ATLANTIDA FTE.E/S. TACAGUA"
FERRETERIA QUINCALLERIA Y BAZAR 2010 C.A,01-01-555,Z136,136,584120437218,realluis@hotmail.es,"Venezuela
, DISTRITO FEDERAL
, CARACAS
, CALLE LA PLANADA EDIF YULIMAR PISO PB LOCAL 01 SECTOR CARAYACA CARAYACA VARGAS"
FERRETERIA ROYAL 7 C.A.,01-41-016,Z136,136,584143156463,ferreteriaroyal7@hotmail.com,"Venezuela
, LA GUAIRA
, NAIGUATA
, CALLE CALLEJON ROYAL ENTRE CALLE SILENCIO Y CRISTO  N° 7 SECTOR MAIQUETIA"
"FERRETERIA RYL 2023, C.A.",01-29-865,Z136,136,584141077465,electroferreteriavencar2010@hotmail.com,"VENEZUELA
, DISTRITO FEDERAL
, LA GUAIRA
, AV CENTRO DE MAIQUETÍA AL FRENTE DE LA PLAZA LOURDES LOCAL NRO No 49 SECTOR MAIQUETIA MAIQUETIA LA GUAIRA"
"FERRETERIA SAN MIGUEL, E.M, C.A.",90-01-010,Z136,136,584142498024,nayidomingo@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV LA COSTANERA CASA NRO 7 URB LOS CORALES CARABALLEDA VARGAS"
FERRETERIA Y AUTOEQUIPOS GLASS C.A.,01-29-001,Z136,136,584142329468,nelioteixeirasousa@hotmail.com,"Venezuela
, LA GUAIRA
, MAIQUETIA
, AV.SOUBLETTE EL CANTON NRO 45 SECTOR MAIQUETIA"
"FERRETERIA Y MATERIALES NAIGUATA, C.A.",01-45-224,Z136,136,584142541851,ferrenaiguata@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE REAL NUMERO 22-14   AV. PRINCIPAL"
FERRETERIA Y QUINCALLA SANTA MARTA C.A,01-45-278,Z136,136,584142071381,ferreteriasantamarta@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV LOS MANGOS ENTRE CALLE VICTORIA Y LOS CAOBOS QTA EL REPOSO NRO 18-10 SECTOR PUEBLO ABAJO"
"FERRETERRÍA RIBEREÑA LA GUAIRA, C.A.",01-41-691,Z136,136,584143371687,feriberca@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, PLAZA EL CONSUL NO. 173"
"HIERRO TREBOL, C.A.",01-41-377,Z136,136,584242506957,hierrotrebolca@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, ENTRADA EL TREBOL CALLE PPAL LOCAL S/N EL TREBOL."
"INVERSIONES ALYFRAN, C.A",01-17-017,Z136,136,584125668917,inversionesalyfranca@gmail.com,"Venezuela
, LA GUAIRA
, CARAYACA
, CALLE REAL DE TARMAS Y EL PARDILLO LOCAL PLANTA BAJA NRO 6 SECTOR CARAYACA"
"INVERSIONES EUREKA AJD, C.A.",01-27-046,Z136,136,584125971033,eurekacontigo@gmail.com,"Venezuela
, LA GUAIRA
, CATIA LA MAR
, AV EL HOTEL. EDIF PLAYATE PISO PB LOCAL 4. URB PLAYA GRANDE"
"INVERSIONES FERREPESCA, C.A.",90-01-003,Z136,136,584143312545,juancarlospev@yahoo.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV SOUBLETTE LOCAL MERCADO PUNTA DE MULATOS NRO 37 SECTOR PUNTA DE MULATOS LA GUAIRA VARGAS"
"INVERSIONES FERRESERVICIOS JJHH NUNCA ES TARDE, CA",01-45-764,Z136,136,584241107202,ferreteriajjhh@hotmail.com,"VENEZUELA
, DISTRITO FEDERAL
, NAIGUATA
, AV LOS MANGOS CASA SANTA EDUVIGES NRO S/N SECTOR PUEBLO ABAJO NAIGUATA, LA GUAIRA"
INVERSIONES FERRETERIA JJHH NUNCA ES TARDE C.A,01-13-994,Z136,136,584241107202,ferreterianuncaestardecaribe@gmail.com,"VENEZUELA
, LA GUAIRA
, CARABALLEDA
, AV AV MONTE CARLO CON AV FLORIDA LOCAL NRO S/N URB PALMAR ESTE CARABALLEDA LA GUAIRA"
"INVERSIONES FERRETTCA,C.A.",01-01-020,Z136,136,584241103453,tanytoro_31@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, AV CARLOS SOUBLETTE, ENTRE PLAZA VARGAS Y GUIPUZCOANA LOCAL COMERCIAL NRO S/N URB LA GUAIRA"
"INVERSIONES H.D.H., C.A",90-01-017,Z136,136,584140129542,inversione3hdh@gmail.com,"PAIS: Venezuela
ESTADO: LA GUAIRA 
CIUDAD: VARGAS
DIRECCION: AV PALMAR ESTE BULEVAR MONTE CARLO CC CENTRO COMERCIAL IP-5 NIVEL P/B K-7 URB LA COSTANERA "
"INVERSIONES JEREZ 2010, C.A.",01-13-092,Z136,136,584143650058,inversionesjerez2010@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE SUBIDA A SAN JULIAN CASA NRO 28 SECTOR EL CAIMITO"
INVERSIONES MEDICA A Y E C.A.,01-01-970,Z136,136,582127154313,medicacontroldegestion@gmail.com;medicapresupuesto@gmail.com,"VENEZUELA
, DISTRITO CAPITAL
, CARACAS
,  AV E QTA LUME URB EL PINAR CARACAS DISTRITO CAPITAL ZONA POSTAL 1020"
"INVERSIONES NORTE FRANCO 2033, C.A.",01-28-001,Z136,136,584129153832,robertca55@hotmail.com,"VENEZUELA
, LA GUAIRA
, CATIA LA MAR
, CALLE BAJADA HACIA ARRECIFE,DEL SECTOR VISTA AL MAR CASA BLANCA NRO PISO 1 URB ARRECIFE CATIA LA MAR LA GUAIRA"
"INVERSIONES PUNTALLANA 1,2,3, C.A.",90-01-050,Z136,136,584142885822,clararodriguezhdez@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE REAL DE NAIGUATA C/C CALLE RIBAS EDIF PUNTALLANA PISO 02 LOCAL 2 SECTOR PUEBLO ABAJO NAIGUATA"
LICORES LA CASCADA CA,90-01-053,Z136,136,584143218552,licoreslacascada@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE CALLE REAL DE NAIGUATA EDIF EDIFICIO PUNTA AZUL PISO P.B LOCAL 2 URB NAIGUATA"
MATERIALES LA LUCHA C.A,01-27-515,Z136,136,584242081899,materialeslalucha@gmail.com,"Venezuela
, LA GUAIRA
, CATIA LA MAR
, AV. PPAL DE CATIA LA MAR  FRENTE A BARRIO LA LUCHA AL  LADO DE PROSEIN"
MATERIALES LO PILATO S.R.L.,01-27-505,Z136,136,584140518258,lopilatomateriales@gmail.com,"Venezuela
, LA GUAIRA
, CATIA LA MAR
, CATIA LA MAR FRENTE A LA UNIVERSIDAD MARITIMA"
"MATERIALES OSMAIRA R.O.E. 20, C.A.",90-01-032,Z136,136,584144669536,materialesosmairaroe@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE CALLE REAL DE PARIATA CASA CASA-LOCAL NRO 49 ZONA MAIQUETIA MAIQUETIA VARGAS"
MATERIALES ROYAL 7. C.A,01-83-001,Z136,136,584142508258,materialesroyal7@gmail.com,"VENEZUELA
, LA GUAIRA
, MAIQUETIA
, CALLE ENTRE LAS ESQUINAS SOROCAIMA CALLE N5 NUMERO 277 LOCAL NRO 1 SECTOR MAIQUETIA MAIQUETIA LA GUAIRA"
"MATERIALES Y FERRETERIA EL CISNE I, C.A.",01-41-007,Z136,136,584149124507,ferreelcisne1@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, FRENTE A LA FERRETERIA FRABASCHEL"
MATERIALES Y FERRETERIA R Y G GUANCHEZ C.A.,01-29-502,Z136,136,584166058231,rygguanchez@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, CALLE REAL DE PUNTA DE MULATO LOCAL MATERIALES Y FERRETERIA R Y G GUANCHEZ NRO PB URB PUNTA DE"
"PINTU PANA 2024, C.A",49-61-977,Z136,136,584148185073,pintupana2024@gmail.com,"VENEZUELA
, MIRANDA
, PETARE
, CALLE GARCILASO EDIF PERSEO PISO PB LOCAL B URB BELLO MONTE CARACAS MIRANDA"
"PROVEEDURIA EL PUEBLO, C.A.",01-45-633,Z136,136,584168106289,proveeduria.el.pueblo@gmail.com,"PAIS: Venezuela
ESTADO: LA GUAIRA 
CIUDAD: NAIGUATA
DIRECCION: CALLE PRINCIPAL NAIGUATA  C/C CALLE PAEZ"
PURO HIERRO 93 C.A.,01-27-634,Z136,136,584242689057,purohierro93@gmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, FINAL AV. LA ARMADA FRENTE A LA PLANTA DE PEPSICOLA"
"SAN ARNALDO MULTICENTRO FERRETERO, C.A.",90-01-014,Z136,136,584166113396,sanarnaldo99@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, DISTRIBUIDOR EL TREBOL"
"SUPLY HIERRO LITORAL G.M.,C.A.",01-13-010,Z136,136,584142615750,shlitoral@gmail.com,"Venezuela
, LA GUAIRA
, CARABALLEDA
, AV COSTANERA NRO 01 URB LOS CORALES, CARABALLEDA"
"TECNO REFRIGERACION EL CRISTO, C.A.",01-41-005,Z136,136,584241765517,tecnorefrigeracionelcristo@hotmail.es,"Venezuela
, LA GUAIRA
, MAIQUETIA
, DE CRISTO A PUENTE MAIQUETIA CASA #2 PB.LOCAL 1"
"VIDRIOS SOUBLETTE ATLANTIDA, C.A.",01-27-022,Z136,136,584145880406,henyderson@hotmail.com,"Venezuela
, LA GUAIRA
, VARGAS
, FRENTE A CAUCHO PIRELI EDO VARGAS"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
