Nombre,codigo,Nivel Precios,telefono,correo,Dirección
COMERCIAL CAELI C.A.,41-19-850,LPLARA,584143530590,marispehernandez@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE CONTRERAS/CONCORDIA Y LIBERTAD COMERCIAL CAELI, C.A S/N° SECT.EGIDIO MONTESINOS"
COMERCIAL MANOLO CARORA C.A,41-19-088,LPLARA,584245866170,comercialmanolocarora@gmailcom,"Venezuela
,  LARA
, CARORA
, AV FRANCISCO DE MIRANDA ESQUINA AV. CRISTO REY LOCAL NRO 4 SECTOR EL STADIUM. CARORA LARA"
CONCERCA SOLUTION C.A.,41-19-060,LPLARA,02524213663,concercaweb@hotmail.com,"Venezuela
,  LARA
, CARORA
, CALLE BOLIVAR C/CALLEJON SALAMANCA Y JOSE L. ANDRADE LOCAL NRO 06 SECTOR TRASANDINO. CARORA"
"CONSTRUREINO SERVICIOS Y SOLUCIONES, C.A",41-19-867,LPLARA,584264570496,construreinoserviciosysoluciones@gmail.com,"VENEZUELA
, LARA
, CARORA
, CALLE LARA, CARRERA 9 CON CARRERA 3 EL ANTIGUO RUJANA LOCAL NRO S/N URB PEDRO LEÓN TORRES CARORA LARA"
COOPERATIVA FELMARCA 23,41-55-000,LPLARA,584121513223,malvinecamacaro@gmail.com,"VENEZUELA
, LARA
, PALMARITO
, CTRA LARA-ZULIA KM82 ENTRADA AGUA LINDA CASA NRO S/N SECTOR PALMARITO PALMARITO LARA"
"CORPORACION EL CUJI 2019, C.A",41-19-159,LPLARA,584166274324,corporacionelcuji2019@gmail.com,"Venezuela
,  LARA
, CARORA
, CTRA LARA ZULIA KM 8 EDIF PANADERIA OMRAN PISO P/B LOCAL S/N SECTOR EL OLIVO CARORA"
DIPAGRO 2021 C.A,41-19-869,LPLARA,584267252971,dipagro2021ca@gmail.com,"VENEZUELA
, LARA
, CARORA
,  CALLE CURARIGUA LOCAL NRO 01 SECTOR TRASANDINO CARORA LARA"
"DISREROCA, C.A.",41-19-095,LPLARA,584166521121,disreroca_carora@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE CURARIGUA / AV FCO DE MIRANDA Y CLLE CARABOBO LOCAL S/N SECTOR TRASANDINO-CARORA CARORA LARA "
"DISTRIBUIDORA ANA LEON 2014, C.A.",41-19-081,LPLARA,02524220450,DISTRIBUANALEON2014@GMAIL.COM,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE CAMACARO ENTRE 7 Y 8, LOCAL NRO S/N, SECTOR CENTRO"
"DISTRIBUIDORA DE ALIMENTOS Y VIVERES LA LIBERTAD, C.A.",41-62-007,LPLARA,584145232224,humbertofernandez6229@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: LA PASTORA
DIRECCION: CTRA PANAMERICANA KM 420 LOCAL S/N CASERIO LA PASTORA. SCTR LA LIBERTAD. PQUIA. CECILIO ZUBILLAGA"
"DISTRIBUIDORA MONTE CRISTO, C.A.",41-41-038,LPLARA,584169514957,distrimontecristo@gmail.com,"Venezuela
,  LARA
, CARORA
, AV 14 DE FEBRERO E/C JACOBO CURIEL Y CALLE VARGAS LOCAL NRO 1 SECTOR CARORITA.CARORA"
"DON JACINTO AGROTIENDA, C.A.",41-03-002,LPLARA,584120573582,donjacintoagrotiendaca@gmail.com,"Venezuela
,  LARA
, ARENALES
, CTRA CENTRO OCCIDENTE LOCAL NRO S/N ZONA BRISAS DE ARENALES ARENALES LARA"
ELISA MERCEDES JUAREZ MOGOLLON,41-19-157,LPLARA,584162599045,elisajuarezm@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CR PORTUGAL /CALLES SAN CARLOS Y CATUCA CASA NRO 27 URB LA COROMOTO III.SECTOR SANTA RITA.CARORA"
EMPRENDIMIENTO CAROLIN ALVAREZ,41-19-884,MAYOREOB,584265582864,Ferrexpresscarora@gmail.com,"PAIS: VENEZUELA
ESTADO: LARA
CIUDAD: CARORA
DIRECCION: CTRA LARA ZULIA LOCAL EL AMPARO NRO 3 SECTOR SAN AGUSTIN CARORA LARA"
"FERRE AGRO PALMARITO,C.A.",41-57-004,LPLARA,584121569848,ferreagropalmarito@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: PALMARITO
DIRECCION: CTRA LARA ZULIA LOCAL MENDOZA NRO 1 SECTOR PALMARITO. PQUIA MONTAÑAVERDE PALMARITO LARA"
FERRE INDUSTRIAL CARORA 2010 C.A,41-19-039,LPLARA,584245506486,ferrefelix.perdomo@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE CHIQUINQUIRA E/ CALLE JOSE L ANDRADE Y AV. AEROPUERTO EDF. FERRE LARA PB-3"
"FERRE KASA KARORA,CA",41-19-100,LPLARA,584125358599,ferrekasakarora@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV FRANCISCO MIRANDA EDIF SORGO PISO 1 OF 9 SECTOR TRASADINO CARORA LARA"
FERRE MATERIALES LA MANO DE DIOS C.A,41-19-082,LPLARA,584168530234,ferrematerialeslamanodediosc.a@outlook.com,"Venezuela
,  LARA
, CARORA
, CALLE GIL FORTOLL ENTRE AV 14 DE FEBRERO Y AV ISAIAS AVILA CASA NRO S/N SECTOR VALPARAISO CARORA"
"FERRE REPUESTO ZOGA, C.A",41-19-164,LPLARA,584264565053,ferrerepuestozogaca@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV 14 DE FEBRERO ENTRE CALLE BOLIVAR Y LARA LOCAL NRO S/N SECTOR-CARORA"
"FERREAGRO LA ECONOMIA CARORA, C.A",41-19-873,LPLARA,584129939239,laeconomiacarora@gmail.com,"VENEZUELA
, CARORA
, TRASANDINO
, CALLE COROMOTO ENTRE AVENIDA FRANCISCO DE MIRANDA Y CALLE CARABOBO LOCAL NRO S/N SECTOR TRASANDINO CARORA"
"FERREAGRO W, C.A.",41-19-118,LPLARA,584161201716,melendezwilmer1@gmail.com,"Venezuela
,  LARA
, CARORA
, AV ROTARIA (LARA-ZULIA) SEGUNDA TRANSVERSAL LOCAL NRO S/N ZONA INDUSTRIAL CARORA"
FERRECENTER CARORA C.A,41-19-059,LPLARA,584145162774,ferrecentercarora2011@gmail.com,"Venezuela
,  LARA
, CARORA
, CALLE JOSE LUIS ANDRADE E/CRRS LIDICE Y CHIQUINQUIRA CASA NRO 12-101 SECTOR PUEBLO APARTE, CARORA"
"FERREMAINCA CARORA, C.A.",41-19-013,LPLARA,584265589980,alexjbtz@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE CAMACARO / CONTRERAS Y SOL DE ORIENTE CASA NRO 5-111 ZONA CENTRO.CARORA CARORA"
"FERRETERIA INSUMA, C.A.",41-19-416,LPLARA,584245059824,ferreteriainsuma@gmail.com,"Venezuela
,  LARA
, CARORA
, AV. FERIA CON CALLE SOL DE  ORIENTE"
"FERRETERIA SAN LUIS CARORA, C.A.",41-19-090,LPLARA,584165912527,ferreteriasanluiscarora@gmail.com,"Venezuela
,  LARA
, CARORA
, CALLE CONTRERAS ENTRE CALLES JOSE LUIS ANDRADE Y CONCORDIA CASA NRO 16-53 SECTOR EGIDIO MONTESINOS"
FERRETERIA SAN MIGUEL 2006 C.A.,41-19-009,LPLARA,584125458448,ssmiguel2016@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE 14 B CECILIO ZUBILLAGA ENTRE AV FRANCISCO DE MIRANDA Y CASA CARRERA 07 CONTRERA SECTOR CARORA "
"FERRETERIA Y MATERIALES  GALLARCAM C.A,",41-19-044,LPLARA,584265572993,arturo.jose_gallardo@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE 2 AV 14  14 DE FEBRERO Y CALLEJON CURIEL N°S/N SECTOR CAMPANERO"
"FERRETODO CARORA, C.A.",41-19-866,LPLARA,584161518557,aleidysyale20@gmail.com,"VENEZUELA
, LARA
, CARORA
, ALLE 19 DE ABRIL ENTRE AVENIDA PEDRO LEON TORRES Y CALLE LIDICE LOCAL NRO S/N SECTOR PUEBLO APARTE CARORA LARA"
"FERRETODO FZ, C.A",41-19-870,LPLARA,584244077333,logisticafzca@gmail.com,"VENEZUELA
, LARA
, CARORA
, AV 14 DE FEBRERO ENTRE CARRERA 08 DE CARABOBO Y CARRERA 09 CC DOÑA ANA NIVEL - LOCAL 3 ZONA CENTRO CARORA LARA"
GABRIELA ANDREINA OROPEZA SALAZAR,41-19-885,LARAB,584120556225,inversiongabrielaoropeza@gmail.com,"VENEZUELA
, LARA
, CARORA
, AV FRANCISCO DE MIRANDA ENTRE CALLE 01 Y CALLE 30B LOCAL NRO SN SECTOR JUAN DE SALAMANCA CARORA LARA ZONA POSTAL 3050"
"INVERSIONES COSECHA GRANDE, C.A",41-57-006,LPLARA,584125254126,inversionescosechagrande2012@gmail.com,"Venezuela
,  LARA
, PALMARITO
, CALLE CALLE LICEO LOCAL SECTOR EL LICEO NRO S/N CASERIO PALMARITO. PQUIA MONTAÑA VERDE PALMARITO"
"INVERSIONES JAQUIN & BOAZ, C.A.",41-19-158,LPLARA,584164261172,joseitorojas5@gmail.com,"Venezuela
,  LARA
, CARORA
, CALLE JUAN SILVA ENTRE CALLE CAMACARO Y CALLE ZUBILLAGA LOCAL NRO S/N SECTOR LA GUZMANA"
"INVERSIONES KEIRIS, C. A",41-19-051,LPLARA,584121568507,ferreteriakeiris@gmail.com,"Venezuela
,  LARA
, CARORA
, CALLE 1 ENTRE CALLES 2 Y 4  LOCAL S/N URB. FRANCISCO  TORRES CARORA"
"INVERSIONES SANTA RITA 2025, C.A.",41-19-872,LPLARA,584127747065,jean81carlosmendoza@gmail.com,"VENEZUELA
, LARA
, CARORA
, CTRA LARA ZULIA LOCAL NRO S/N SECTOR PALMARITO CARORA LARA"
"INVERSIONES VILLA CARMEN 2009, CA",41-19-114,LPLARA,584125173140,mircorcor@yahoo.es,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE LIDICE ENTRE CALLE 19 Y JOSE LUIS ANDRADES CASA NRO SN SECTOR PUEBLO APARTE"
JUAN CARLOS BASTIDAS GONZALEZ,41-19-176,LPLARA,584120584716,juanbastidas.g@gmail.com,"Venezuela
,  LARA
, CARORA
, AV ROTARIA ENTRE CALLES 2 Y 4 LOCAL NRO S/N SECTOR LAJAS AZULES CARORA"
"LACTEOS SANTA RITA 17, C.A.",41-55-001,LPLARA,584128519831,pati-21-26@hotmail.com,"VENEZUELA
, LARA
, PALMARITO
,  CTRA LARA ZULIA LOCAL NRO S/N SECTOR PALMARITO PALMARITO LARA"
LIBIA LISBANY MANZANILLA CHIRINOS,41-19-151,LPLARA,584127622239,multitiendamm2022@gmail.com,"Venezuela
,  LARA
, CARORA
, CALLE RIERA SILVA / AVENIDA FRANCISCO DE MIRANDA EDIF TIBISAY PISO 1 APT 1 URB TRASANDINO.CARORA"
"MATERIALES CONSTRU-HIERRO, C.A.",81-76-004,LPLARA,584122041650,materialesconstruhierro@gmail.com,"Venezuela
,  LARA
, CARORA
, CRTA LARA ZULIA CON AVENIDA ROTAIRA CC HOTEL EL AMPARO NIVEL PB LOCAL 11 SECTOR SAN AGUSTIN CARORA"
MATERIALES DE CONSTRUCCION INSUMA C.A,41-19-040,LPLARA,584145611579,insumaca@gmail.com,"Venezuela
,  LARA
, CARORA
, AV. LA FERIA ESQUINA CALLE SOL DE ORIENTE NRO S/N SECTOR EL ESTADIUN"
MATERIALES DE CONSTRUCCION RUNELCA C.A.,41-19-843,LPLARA,584265581241,runelca1959@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV FRANCISCO DE MIRANDA ENTRE CALLES MARACAY Y MARACAIBO LOCAL NRO S/N  SECTOR LA TOÑONA "
MATERIALES DON CARLOS C.A.,41-19-012,LARAB,582524214748,ANGELI_4530@HOTMAIL.COM,"Venezuela
,  LARA
, CARORA
, CALLE JOSE LUIS ANDRADE CASA N° 13-96 CARORA"
"MATERIALES EL ALBAÑIL, C.A.",41-19-042,LPLARA,584245273650,COMPRAS@MATERIALESELALBAÑIL.COM,"Venezuela
,  LARA
, CARORA
, CALLE 12 CON CARRETERA LARA  ZULIA N° S/N ZONA INDUSTRIAL"
MATERIALES LIFECA C. A.,41-19-022,LPLARA,584127738890,rodriguez.lifeca@gmail.com,"Venezuela
,  LARA
, CARORA
, CALLE BOLIVAR ENTRE CALLEJON SALAMANCA Y C.J OSE L. ANDRADE S/N. ZONA CENTRO CARORA."
"MAYOR K´, C.A.",41-19-121,LPLARA,584125358599,mayork@gmail.com,"Venezuela
,  LARA
, CARORA
, AV FRANCISCO DE MIRANDA CON CALLE RIERA SILVA Y AVENIDA LA FERIA EDIF SORGO PISO 1 OF 9 SECTOR"
"MICAS LIDICE, C.A.",41-19-168,LPLARA,584245184946,scort160.jr@gmail.com,"Venezuela
,  LARA
, CARORA
, CR LIDICE ENTRE AVENIDA ISAIAS AVILA Y CALLE 19 CASA NRO 29-19 SECTOR PUEBLO APARTE"
MISCELANEAS CARORA C A,41-19-061,LPLARA,582524212264,AFREDART1989@GMAIL.COM,"Venezuela
,  LARA
, CARORA
, CALLE LARA E/AV 14 DE FEB. Y CLL J. L. ANDRADE EDIF CASTRO PISO PB LOCAL 1 SECTOR TRASANDINO, CARORA"
PAMPA S.A.,41-19-847,LPLARA,584166562520,habitat.pampa@gmail.com,"Venezuela
,  LARA
, CARORA
, AV. FRANCISCO DE MIRANDA CALLES BARQUISIMETO Y VALENCIA LOCAL NO. SN SECTOR STO DOMINGO"
"PINTURAS TODO COLOR 1 D.A, C.A",41-19-065,LPLARA,584129939022,ar.ilinda@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV 14 DE FEBRERO C/PROLONG. AV. FRANCISCO DE MIRANDA CASA S/N SECTOR TRASANDINO. CARORA"
PROLAGO; C.A.,41-19-183,LARAB,584126445264,prolago.c.a@gmail.com,"Venezuela
, ESTADO LARA
, CARORA
, AV ROTAIRA CON CALLE PORTUGAL HOTEL CARORA SUITES FRENTE A OFERCAUCHOS GUALTIERI LOCALNRO 1 NRO 1"
PROSEL C.A.,41-19-868,LARAB,584165515554,maryavv@hotmail.com,"VENEZUELA
, LARA
, CARORA
, AV AV 14 DE FEBRERO ENTRE CRR VARGAS Y JACOBO CURIEL EDIF AURIMAR PISO PLANTA BAJ LOCAL 0202 SECTOR EGUIDIO MONTESINOS CARORA LARA"
"R.A. TORNILLOS, C.A.",41-19-093,LPLARA,584126739363,ratornillos@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE CAMACARO / SAN JOSE Y JUAN SILVA CASA NRO 13B -71 URB LA GUZMANA.CARORA CARORA LARA"
"R.B.C. REBOBINADOS, C.A.",41-19-083,LARAB,584141020555,jojose13@hotmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: AV LA FERIA E/AV. FCO DE MIRANDA Y PORTUGAL LOCAL NRO 06-06 SECTOR FRANCISCO DE MIRANDA. CARORA "
"REYES HILLHOUSE, EDWIN MIGUEL",41-19-020,LPLARA,584167539956,domingoreyes2009@hotmail.com,"Venezuela
,  LARA
, CARORA
, AV. FRANCISCO DE MIRANDA ESQ. CALLE 22-A Y 23"
SOCIEDAD DE CAÑICULTORES DEL DISTRITO TORRES(SOCATORRES),41-19-875,LARAB,584245427451,Socatoorres1@gmail.com,"VENEZUELA
, LARA
, CARORA
, CTRA LARA ZULIA KM 27 LOCAL SOCATORRES ZONA INDUSTRIAL CARORA LARA"
"SUMINISTRO AGRICOLAS DIAZ ALVAREZ, C.A.",41-57-009,LPLARA,584121269109,sumiramon915@gmail.com,"Venezuela
,  LARA
, PALMARITO
, CTRA VIA LARA ZULIA LOCAL NRO S/N SECTOR PALMARITO.CARORA PALMARITO LARA ZONA POSTAL 3050"
TORNILLOS Y RODAMIENTOS CARORA C.A.,41-19-070,LPLARA,584245398431,torniroca@gmail.com,"PAIS: Venezuela
ESTADO:  LARA
CIUDAD: CARORA
DIRECCION: CALLE SOL DE ORIENTE E/AV. LA FERIA Y RIERA S EDIF TORNIROCA PISO 1 LOCAL 1 URB EGIDIO M. CARORA "
YIWEN HE,41-19-877,MAYOREOB,584129321762,wuilyhefeng@gmail.com,"PAIS: VENEZUELA
ESTADO: LARA
CIUDAD: CARORA
DIRECCION: AV FRANCISCO DE MIRANDA C/CLL JOSE LUIS ANDRADES LOCAL S/N ZONA CENTRO.CARORA CARORA LARA"
ZONAGRICOLA C.A.,41-19-864,LARAB,584120581214,zonagricola21@gmail.com,"VENEZUELA
, LARA
, CARORA
, CALLE 01 ENTRE AVENIDA 14 DE FEBRERO Y JOSE LUIS ANDRADES LOCAL NRO 15 SECTOR EGIDIO MONTESINOS CARORA LARA"
