codigo,Nombre,correo,telefono,contacto,NiveldePrecio,Ultimo Mov.
81-96-187,"REPUESTOS EUROFRANCIA., C.A",eurofrancia.ve@gmail.com,584146436632,DARWIN JAVIER RAMIREZ GUTIERREZ,Repuestero,24/02/2025
81-96-123,"FERREINVERSIONES CHEMARI, C.A",ferreinversioneschemari@gmail.com,584246230405,EMELI RAUL AMUNDARAY,Otros especializados,27/08/2025
81-82-085,"FILTROS MARACAIBO B. 2013, C.A",filtrosmaracaibo2013b@gmail.com,584146324201,RAFAEL EDUARDO BOLIVAR GARCIA,Repuestero,26/12/2025
81-96-192,"FJ TOYOTA IMPORT, C.A",fjimport2@gmal.com,584146636110,CARLOS EDUARDO HERRERA CASTELLANOS,Repuestero,26/11/2025
81-96-078,"G & P INVERSIONES, C.A.",francysparra26@gmail.com,584126266089,GUTIERREZ MOLERO ELIO JOSE,Repuestero,23/04/2025
81-42-260,FRENOS EXPRESS DE VENEZUELA C.A.,frenexdevenezuela@gmail.com,584141644896,CRISTOBAL DIAZ RINCON,Taller con venta de repuestos,23/09/2025
81-44-199,"FRENOS MEDINASA, C.A.",frenosmedinasaca@hotmail.com,584149671018,JOSE IGNACIO MEDINA OCANDO,Taller con venta de repuestos,30/07/2025
81-96-096,"BELLA VISTA FULL TIRES, C.A.",fulltiresca@gmail.com,584246052857,EL DEBAL KARZEDIN TALAAT,Otros especializados,18/11/2023
81-82-531,"FILTROS Y LUBRICANTES EL PUENTE, C.A.",fylpuente@hotmail.com,584146606115,NORFO ENRIQUE BERNAL,Distribuidor mayorista,16/09/2025
81-96-122,"INVERSIONES PETIT Y BOHORQUEZ, COMPAÑIA ANONINA",genuinosmaracaibo@gmail.com,584126754236,BOHORQUEZ YNOSTROZA ROBERTH,Repuestero,23/01/2024
81-96-184,LUBRI-IMPORT MOTOR CA,geryarilinares@gmail.com,584125845685,CARMELO ALFIO LOREFICE GARCIA,Otros especializados,30/10/2024
81-96-141,"GLOBAL MOTRIZ, C.A",globalmotriz@gmail.com,584146154845,GUSTAVO ADOLFO SANCHEZ URDANETA,Taller,05/09/2025
81-45-225,"GRUPO AFER, C.A",grupoafer@hotmail.com,584146431224,ALEJANDRO DAVID FERNANDEZ,Taller con venta de repuestos,11/09/2025
81-82-172,"INVERSIONES HERNANDEZ PACHECO,C.A.",hernandezp79@gmail.com,584246792202,OMAR EDUARDO HERNANDEZ PACHECO,Repuestero,11/09/2025
81-41-684,"INVERSIONES LUCEMI,C.A",inverluca@gmail.com,584121212638,ROXANA LUCIA BUTRON ANDRADE,Repuestero,29/11/2025
81-96-070,"INVERSIONES J.A, C.A",inversiones.jaca2021@gmail.com,584166577592,PARRA CARRIZO MAYERLYN CHIQUINQUIRA,Otros especializados,23/12/2025
81-45-049,"AUTO ELECTRICOS ORION,C.A",inversionesosako@gmail.com,584149634604,OSWALDO TOVAR,Distribuidor mayorista,04/09/2025
81-96-089,"INVERSIONES SP DEL LAGO, C.A",inversionesspdellago@gmail.com,584266742955,PEREZ RIVAS SAMUEL ANDRES,Repuestero,12/12/2024
81-96-114,CAUCHOS CENTER LAS DELICIAS C.A.,javier_navarro91@hotmail.com,584146447697,JAVIER RAMON NAVARRO GRANADILLO,Otros especializados,23/10/2025
81-96-148,"KYOTO AUTO PARTS, C.A",kyotoautoparts@gmail.com,584124734971,"KYOTO AUTO PARTS, C.A",Repuestero,23/11/2023
81-96-170,"LA 15 REPUESTOS, C.A.",la15repuestosca@gmail.com,584146535664,"LA 15 REPUESTOS, C.A.",Repuestero,25/06/2025
81-42-159,"CONEXIONES HIDRAULICAS SANCHEZ LOAIZA , C.A",lacasadelasmangueras1@gmail.com,584246019266,MARIA SANCHEZ MELEAN,Repuestero,05/09/2025
81-96-186,EMPRENDIMIENTO RUBY BRITO,leandrojvo@hotmail.com,584146510927,RUBY CARMEN BRITO SILVA,Otros especializados,29/08/2024
81-42-213,"LU SOUND SISTEM,C.A.",leandrourribarri@gmail.com,584146412473,LEANDRO JOSE URRIBARRI,Taller con venta de repuestos,04/09/2025
81-41-285,"FUJI PARTES, C.A.",listasfuji@gmail.com,584146102829,LIAN F TRIGGIANO,Repuestero,09/08/2025
81-44-335,"LUBRICANTES G Y N RACING, C.A (LUBRICANTES G Y N RACING, C.A)",lubricantesgyn@gmail.com,584125477458,GISELA ENRIQUETA LINARES,Taller con venta de repuestos,05/09/2025
81-96-185,"LUBRI CAR'S, C.A.",lubricars315@gmail.com,584246441404,CARLOS JOSE DIAZ PRIETO,Otros especializados,23/12/2025
81-82-185,"LUBRICENTER LA 10, C.A",lubricenterla10@hotmail.com,2617426362,ROMULO ERNESTO URRUTIA PARRA,Taller con venta de repuestos,19/10/2025
81-82-298,"LUBRIPARTS, C.A.",lubrifiltrosczla@gmail.com,584246939624,RAED EL HASSANIEH,Repuestero,16/12/2025
81-82-558,LUBRILAGO EXPRESS C. A,lubrilagoexpress@gmail.com,584146287650,EIVIS VILLASMIL,Repuestero,16/01/2025
81-82-214,LUBRICANTES Y REPUESTOS URDANETA CA,lubriurdanetaca@hotmail.com,584146366254,MANUEL ENRIQUE VILLASMIL,Repuestero,28/10/2025
81-96-139,"LUISPARTS MAYOR, C.A.",luispartsca@hotmail.com,584140638049,LUIS ALFONSO PARRA BASTIDAS,Repuestero,30/07/2025
81-82-448,"LUBRITODO LA 10, COMPAÑIA ANONIMA.",luzucros08@gmail.com,584146465954,LUZ ESTELA UCROS PORRAS,Taller con venta de repuestos,19/09/2025
81-96-043,"MANGUERAS HIDRAULICAS REDOVER, C.A (REDOVER)",manguerashidraulicaslm@gmail.com,584246701639,MAYERLIN JERALDINE VERA DIAZ,Repuestero,23/12/2025
81-41-003,"FERRE HOGAR OCTAGONO, CA",maracaibocheng123@gmail.com,584246364153,CHENG BINGHONG,Otros especializados,20/10/2025
81-96-182,MARTINEZ CLUTCH C.A.,Martinez_clutch@hotmail.com,584146277496,"LA 15 REPUESTOS, C.A.",Taller con venta de repuestos,05/12/2025
81-96-193,"MAYOR DE REPUESTOS ZULIA, C.A.",mayorrepuestoszulia@gmail.com,584146096902,CARLOS ENRIQUE FERRER RINCON,Repuestero,12/01/2026
81-82-024,"PERIGOMAS MARACAIBO, C.A.",mirtha_leon013@hotmail.com,584149643578,MIRTHA CIRA LEON,Repuestero,23/12/2025
81-82-376,"M & L REPUESTOS Y SERVICIOS AUTOMOTRIZ, C.A.",mlrepautomotriz@gmail.com,584120680084,MIGDALIA MATILDE MARIN PIÑEIRO,Repuestero,28/10/2025
81-82-635,"MULTISERVICIOS LA 85, C.A.",multila85@gmail.com,584146252895,LUIS MIGUEL ROJAS CAMPOS,Taller con venta de repuestos,04/09/2025
81-96-065,MULTISERVICIOS AUTO 76 C.A.,multiservicios76th@gmail.com,584246844346,BARBOZA GUERRA HUGO JOSE,Taller con venta de repuestos,05/09/2025
81-44-042,"MULTITIENDA EL VIÑEDO,CA",multitiendaelvinedo@gmail.com,584146387844,ROMANO PIERINI,Otros especializados,23/12/2025
81-96-191,"RUEDAS LA MUNDIAL VERITAS, COMPAÑIA ANONIMA",nestorbv2014@gmail.com,584125249561,RAED MIGUEL SADADY SAFADI,Taller con venta de repuestos,31/10/2024
81-82-338,"NEVIPARTS , C.A.",neviparts@hotmail.com,2617986917,NELSON JOSE DIAZ,Repuestero,12/12/2024
81-41-827,"INVERSIONES EL GRAN TRIUNFO, C.A",nurdaneta44@gmail.com,584126839144,NERY LUZ URDANETA MENDEZ,No clasificado,02/12/2025
81-41-172,"AUTOGOMAS Y REPUESTOS,C.A.",orlandobutron4@hotmail.com,584126641060,JACKELINE MARIA ESPINA G.,Repuestero,29/01/2026
81-96-205,"KAIYUN MOTORS DE VENEZUELA, C.A.",postventakaiyunmotors@gmail.com,584246640419,PERCY OCTAVIO ROACH BAEZA,Corporativos y flotas,23/12/2025
81-44-064,PARTES Y SERVICIOS COMPANIA ANONIMA,pys_ca@hotmail.com,584246120340,LUPE GONZALEZ,Repuestero,29/10/2025
81-41-087,"RACING TIRE, C.A.",racingtire1@gmail.com,584145391766,JOSE G. MORENO,Otros especializados,29/10/2025
81-41-380,"AIRCA, C. A.",ragular@aircanet.com,2617220311,IRAN GABRIEL CHAPARRO,Taller con venta de repuestos,23/11/2023
81-43-077,"REPRESENTACIONES BRICEÑO MARVAL, C.A.",rebrimarca@outlook.com,584127032164,EDUARDO BRICEÑO MARVAL,Repuestero,19/12/2025
81-96-143,"RECAMBIOS LA PLAZA, C.A",recambiolaplaza@gmail.com,584246258614,ALEJANDRO ENRIQUE GUERRERO ESTEVEZ,Repuestero,29/01/2026
81-96-080,"AUTO POLARIZADOS MARACAIBO REPUESTOS Y ACCESORIOS, C.A",repuestosescalanteca@gmail.com,584146881841,GONZALEZ FINOL LUIS GUILLERMO,Repuestero,24/02/2025
81-96-057,"REPUESTOS ESCALANTE, C.A.",repuestosescalanteca@gmail.com,584147573204,KENNY HEBERT ORTEGA SANCHEZ,Repuestero,12/01/2026
81-45-054,"REPUESTOS TODITOS, C.A.",repuestostoditos@hotmail.com,584125637946,HECTOS DANIEL RAMIREZ,Repuestero,27/06/2025
81-41-572,"REPUESTOS Y ACCESORIOS GONZALEZ, C.A.",repuestosyaccesoriosgonzalez@hotmail.com,584126503101,ROMIRA GONZALES RIO,Repuestero,27/06/2025
81-96-103,"REPUESTOS Y TORNILLERIA GARRIDO, C.A.",repuestoytornilleriagarrido@gmail.com,584121210280,JUAN DANIEL GARRIDO BRACHO,Otros especializados,29/10/2025
81-82-626,"LUBRICANTES Y AUTO PARTS, C.A.",ritabarriosreyesrivas@gmail.com,584246941211,RITA DEL CONSUELO BARRIOS REYES,Repuestero,20/09/2025
81-96-196,"REPUESTOS TIBISAY, C.A.",rptostibisay@gmail.com,584146109255,MIGUEL ANDRES BELLOSO LIZARZABAL,Repuestero,01/01/1980
81-82-473,"AUTO REPUESTOS L & V, C.A.",rubenviloria1@hotmail.com,584246268282,RUBEN EDUARDO VILORIA OCHOA,Repuestero,27/01/2026
81-82-634,"RUEDAS LA MUNDIAL I,C.A.",ruedaslamundial@gmail.com,584146569540,RAED MIGUEL SAFADY SAFADI,Taller con venta de repuestos,05/02/2025
81-96-188,"RUEDAS LA MUNDIAL 72,C.A",ruedaslamundial72@gmail.com,584144406202,MIGUEL SAFADY NADER,Distribuidor mayorista,17/01/2025
81-82-300,"RUSTICOS DEL SUR, CA",rusticosdelsurca@gmail.com,584129668117,ELSA RUBIO DE GUTIERREZ,Repuestero,08/01/2026
81-82-646,"SAN LUIS CAR WASH,S.A.",sanluiscar2020@gmail.com,584241446420,ORTEGA CHIRINOS ROSE ALEIN,Repuestero,27/06/2025
81-82-509,"SEMICONDUCTORES SANTO DOMINGO, C.A.",sdomingotv@gmail.com,584140587964,EMANUELE MENEGALDO,Otros especializados,24/02/2025
81-44-336,"STOCK CAR AUTO PARTS, C.A",stock_car@oulook.com,584246888676,CAROLINA MAGGIOLO MARTINEZ,Repuestero,19/01/2026
81-96-092,"STOP CAR73, C.A.",stopcar73mcbo@gmail.com,584146554262,VILLAREAL RAMIREZ LUIS ALBERTO,Repuestero,12/01/2026
81-96-171,"SUMINO, C.A",suminoca67@gmail.com,584146281209,No clasificado,Repuestero,04/09/2025
81-82-632,"SUPLIDORA INDUSTRIAL,C A.",supliinca@gmail.com,584120647028,JENDY LUIS DELGADO BRACHO,Distribuidor mayorista,30/01/2026
81-42-018,TECNOLUBRICANTES C.A,tecnolubricantes.com@gmail.com,584246234476,JOSE V. UZCATEGUI,Taller con venta de repuestos,28/10/2025
81-82-610,"TOYO.COM, C.A",toyocomca@hotmail.com,584246768494,STALIN JESUS GALLARDO MANZANILLA,Repuestero,29/08/2024
22-08-333,"TOYOMOTOR PLUS,C.A",toyomotorplus@hotmail.com,584146189194,STALIN JESUS GALLARDO MANZANILLA,Repuestero,23/12/2025
81-96-119,"MULTISERVICIOS PARTES Y REPUESTOS M & G, C.A",transportejm2021@gmail.com,584146611741,DAMARIS HORTENCIA MARTINEZ ZABALA,Repuestero,15/10/2025
81-81-029,"TRANSPORTE TARAZONA LA FORTALEZA, C.A.",transportetarazonalafortalezaca@hotmail.,584143636301,MARIA TARAZONA,Corporativos y flotas,09/09/2025
81-96-190,"RUEDAS LA MUNDIAL DELICIAS, C.A",ventasrlmd@rlmundial.com,584146135058,RAED MIGUEL SAFADY SAFADI,Taller con venta de repuestos,29/01/2025
81-42-269,"INVERSIONES JUMCA, C.A.",vicky_mejias@hotmail.com,584143604549,JUAN MEJIA REY,Repuestero,12/01/2026
81-96-144,"VP MULTISERVICIOS AUTOMOTRIZ, C.A",vpmultiservices20@gmail.com,584146380303,ANDRES EDUARDO VARGAS PARIS,Repuestero,29/07/2025
81-51-787,"GRUPO XECLIN MULTISERVICIOS, C.A",ybriceno@xeclin.net,584265714958,ALBERTO JOSE VALERA HERNANDEZ,Taller con venta de repuestos,22/01/2026
81-81-046,"AUTOLIMPIEZA, C.A.",zen1470@gmail.com,584146161188,MARISOL BAPTISTA,Taller,24/09/2025
81-41-000,"ZULIANA DE CONSTRUCCIONES Y SERVICIOS AVENDAÑO SUAREZ, C.A",zucosasca96@gmail.com,584146463172,JOSE LEONARDO AVEDAÑO SUAREZ,Corporativos y flotas,23/12/2025
